Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/25/2021 14:38,1731,100,83,449.5,47.5,660.5,44.7,131.6
11/25/2021 14:08,1098,28,82,409,5.5,596.5,42.8,23.05
11/25/2021 13:38,1724.5,85,83,454,35.5,631.5,43,124.8
11/25/2021 13:08,1865,27,83,449.5,76,626.5,42.7,77.55
11/25/2021 12:09,1102,29,82,410.5,5.5,601.5,41.3,23.3
11/25/2021 11:39,1331.5,27,83,422,6.5,618,45,29.7
11/25/2021 11:09,800.5,26,83,278,2,576,39.3,13.9
11/25/2021 10:39,801,22,82,278.5,1.5,577,39,12.95
11/25/2021 10:09,799.5,24,83,281,2,580.5,35.7,13.55
11/23/2021 18:34,799.5,27,83,273.5,2,577,34.8,14.35
11/23/2021 17:18,1780,83,83,452,70.5,676.5,35.1,135.85
11/23/2021 16:48,1128.5,33,82,401.5,8.5,605.5,35.3,25.65
11/23/2021 16:18,1849,71,82,451,86,657,35.5,112.1
11/23/2021 15:48,800,18,82,279,1.5,567.5,35.4,11.75
11/23/2021 15:18,778.5,11,82,319.5,3.5,575.5,39.1,15.1
11/23/2021 14:48,1828.5,32,83,453,74,667,42.7,66.25
11/23/2021 14:18,800.5,23,83,271.5,1.5,566.5,44.3,13.3
11/23/2021 13:48,751.5,24,82,365,4.5,586,42.2,13.2
11/23/2021 13:18,1790.5,84,83,450,67,663,44.5,131.7
11/23/2021 12:48,1782,31,83,451.5,38,660,45.8,57.35
11/23/2021 12:18,1780.5,93,84,446.5,77.5,665,48.9,147.6
11/23/2021 11:48,1787.5,32,84,450,40.5,630.5,49.6,59.85
11/23/2021 11:18,1755,46,83,451,63,661.5,42.3,90.85
11/23/2021 10:48,1388,57,82,368,13.5,608.5,44.6,54.15
11/23/2021 10:18,1577.5,67,82,447,44,672.5,37.7,90.95
11/22/2021 19:48,800.5,28,82,282,2,578,36,14.5
11/22/2021 17:09,1687.5,88,84,442,114.5,662.5,47.5,137.5
11/22/2021 16:39,1780.5,81,84,449.5,67.5,651.5,49.7,129.8
11/22/2021 16:09,1810.5,17,85,448.5,54,639,51.3,48.2
11/22/2021 15:39,1871.5,41,83,450.5,77,647,43,69.25
11/22/2021 15:09,1725.5,72,83,453,38,653,43.2,46.2
11/22/2021 14:39,1806.5,18,83,453.5,49.5,655.5,41.1,45.25
11/22/2021 14:09,1771,83,83,451,71.5,656,41.5,138.45
11/22/2021 13:39,1375,26,82,439.5,5,634.5,38.8,28.6
